"","Code","Firmnames","Return on Assets","Gross Margin","Assets/Equity","Asset Turnover","Return on Invested Capital","Tobin's Q Ratio","Profit Margin","Total GHG Emissions","Total Assets","Year"
"63",9,"EQIX US EQUITY","    1.4509","   48.7486","    2.5396","    0.2354","    3.1827","    2.9634","    6.1644"," 2119.7000","27006.8410","2020"
"64",10,"FRT US EQUITY","   3.7539",NA,"   2.5099","   0.1565","   6.8158","   2.6631","  23.9815",NA,"4546.8700","2014"
"65",10,"FRT US EQUITY","   4.4450",NA,"   2.5592","   0.1573","   6.8672","   2.7304","  28.2548",NA,"4911.7090","2015"
"66",10,"FRT US EQUITY","   4.8362",NA,"   2.4434","   0.1551","   6.7027","   2.5239","  31.1767",NA,"5423.2790","2016"
"67",10,"FRT US EQUITY","   4.9562",NA,"   2.4779","   0.1466","   6.1257","   2.2111","  33.8152",NA,"6275.7550","2017"
"68",10,"FRT US EQUITY","   3.8504",NA,"   2.4158","   0.1457","   5.9454","   2.0459","  26.4253",NA,"6289.6440","2018"
"69",10,"FRT US EQUITY","   5.4089",NA,"   2.4479","   0.1430","   5.8213","   2.0815","  37.8148",NA,"6794.9920","2019"
"70",10,"FRT US EQUITY","   1.8289",NA,"   2.8318","   0.1160","   2.7364","   1.5556","  15.7638",NA,"7607.6240","2020"
"71",11,"HASI US EQUITY","   1.2160",NA,"   3.6808","   0.0573","   1.3973","   1.1051","  21.2192",NA,"1008.6820","2014"
"72",11,"HASI US EQUITY","   0.6422",NA,"   3.4011","   0.0474","   0.7220","   1.1851","  13.5619",NA,"1469.6210","2015"
"73",11,"HASI US EQUITY","   0.9113",NA,"   3.0398","   0.0505","   0.6017","   1.1789","  18.0448",NA,"1745.8870","2016"
"74",11,"HASI US EQUITY","   1.5443",NA,"   3.5007","   0.0528","   0.5171","   1.2684","  29.2272","   0.0640","2250.1720","2017"
"75",11,"HASI US EQUITY","   1.8877",NA,"   2.6785","   0.0626","   1.0056","   1.1632","  30.1702","   0.0640","2154.9130","2018"
"76",11,"HASI US EQUITY","   3.5914",NA,"   2.5399","   0.0623","   1.4567","   1.4234","  57.6094","   0.0680","2387.2740","2019"
"77",11,"HASI US EQUITY","   2.8194",NA,"   2.8584","   0.0639","   1.9347","   2.0542","  44.0947","   0.0680","3459.0670","2020"
"78",12,"JPM US EQUITY","      0.8718",NA,"     11.0880","      0.0413","      2.7559","      1.0080","     22.8625","   1162.7700","2573126.0000","2014"
"79",12,"JPM US EQUITY","      0.9926",NA,"      9.4990","      0.0410","      3.2887","      1.0087","     26.1292","   1061.9700","2351698.0000","2015"
"80",12,"JPM US EQUITY","      1.0215",NA,"      9.7996","      0.0436","      3.6150","      1.0318","     25.8529","    985.6490","2490972.0000","2016"
"81",12,"JPM US EQUITY","9.72900e-01",NA,"9.90880e+00","4.58000e-02","3.43640e+00","1.05390e+00","2.42699e+01","8.48933e+02","2.53360e+06","2017"
"82",12,"JPM US EQUITY","      1.2596",NA,"     10.2237","      0.0510","      4.2178","      1.0341","     29.7847","    822.5590","2622532.0000","2018"
"83",12,"JPM US EQUITY","      1.3722",NA,"     10.2835","      0.0536","      4.6892","      1.0728","     31.5073","     81.6550","2687379.0000","2019"
"84",12,"JPM US EQUITY","      0.9593",NA,"     12.1211","      0.0426","      4.9612","      1.0408","     24.3686","     81.6550","3386071.0000","2020"
"85",13,"KIM US EQUITY","    4.2560",NA,"    2.0551","    0.0998","    5.1887","    1.6386","   42.6605","   65.5120","10261.4000","2014"
