"","Firmnames","Year","Code.x","Return_on_Assets_bf","Gross_Margin_bf","AssetsEquityRatio_bf","Asset_Turnover_bf","Return_on_Invested_Capital_bf","Tobins_Q_Ratio_bf","Profit_Margin_bf","Total_GHG_Emissions_bf","Total_Assets_bf","Code.y","Cpn","Amount_Issued","Maturity","BBG_Composite","Maturity_Type","Currency","Cntry_of_Incorp","Green_Instrument_Indicator"
"129","EQIX US EQUITY",2020,9,1.4509,48.7486,2.5396,0.2354,3.1827,2.9634,6.1644,2119.7,27006.841,9,1.8,5e+08,"2027/7/15","BBB-","CALLABLE","USD","US",0
"130","EQIX US EQUITY",2020,9,1.4509,48.7486,2.5396,0.2354,3.1827,2.9634,6.1644,2119.7,27006.841,9,2.95,5e+08,"2051/9/15","BBB-","CALLABLE","USD","US",0
"131","EQIX US EQUITY",2020,9,1.4509,48.7486,2.5396,0.2354,3.1827,2.9634,6.1644,2119.7,27006.841,9,2.15,1.1e+09,"2030/7/15","BBB-","CALLABLE","USD","US",0
"132","EQIX US EQUITY",2020,9,1.4509,48.7486,2.5396,0.2354,3.1827,2.9634,6.1644,2119.7,27006.841,9,1,7e+08,"2025/9/15","BBB-","CALLABLE","USD","US",1
"177","OC US EQUITY",2014,15,2.9758,18.5551,2.022,0.6926,7.0915,1.0608,4.2966,4050.66,7542,15,4.2,4e+08,"2024/12/1","BBB-","CALLABLE","USD","US",0
"178","OC US EQUITY",2020,15,-3.9308,22.8207,2.4057,0.7241,-3.8289,1.4324,-5.4288,4203.56,9481,15,3.875,3e+08,"2030/6/1","BBB-","CALLABLE","USD","US",0
"179","PEP US EQUITY",2014,16,8.8021,53.1545,4.0181,0.9012,13.6008,2.8014,9.7671,5855,70509,16,3.6,1.25e+09,"2024/3/1","A+","CALLABLE","USD","US",0
"180","PEP US EQUITY",2019,16,9.3652,55.1347,5.283,0.86,17.3518,3.2475,10.8902,5108.94,78547,16,2.625,1e+09,"2029/7/29","A+","CALLABLE","USD","US",0
"181","PEP US EQUITY",2020,16,8.3049,54.8158,6.8564,0.8208,14.6213,3.0096,10.1177,5108.94,92918,16,2.75,1.5e+09,"2030/3/19","A+","CALLABLE","USD","US",0
"182","PEP US EQUITY",2020,16,8.3049,54.8158,6.8564,0.8208,14.6213,3.0096,10.1177,5108.94,92918,16,1.625,1e+09,"2030/5/1","A+","CALLABLE","USD","US",0
"183","PEP US EQUITY",2020,16,8.3049,54.8158,6.8564,0.8208,14.6213,3.0096,10.1177,5108.94,92918,16,3.625,1.5e+09,"2050/3/19","A+","CALLABLE","USD","US",0
"184","PEP US EQUITY",2020,16,8.3049,54.8158,6.8564,0.8208,14.6213,3.0096,10.1177,5108.94,92918,16,1.4,7.5e+08,"2031/2/25","A+","CALLABLE","USD","US",0
"185","PEP US EQUITY",2020,16,8.3049,54.8158,6.8564,0.8208,14.6213,3.0096,10.1177,5108.94,92918,16,1.05,886747500,"2050/10/9","A+","CALLABLE","EUR","US",0
"206","VZ US EQUITY",2014,24,3.799,60.7087,17.0091,0.5016,9.0727,1.7827,7.574,5939.1,232616,24,3.5,2.5e+09,"2024/11/1","BBB+","CALLABLE","USD","US",0
"207","VZ US EQUITY",2014,24,3.799,60.7087,17.0091,0.5016,9.0727,1.7827,7.574,5939.1,232616,24,4.4,2.5e+09,"2034/11/1","BBB+","CALLABLE","USD","US",0
"208","VZ US EQUITY",2015,24,7.4997,60.0691,13.6854,0.5521,12.2804,1.7037,13.5838,5974.86,244175,24,4.522,5e+09,"2048/9/15","BBB+","AT MATURITY","USD","US",0
"209","VZ US EQUITY",2015,24,7.4997,60.0691,13.6854,0.5521,12.2804,1.7037,13.5838,5974.86,244175,24,4.272,2868704000,"2036/1/15","BBB+","AT MATURITY","USD","US",0
"210","VZ US EQUITY",2016,24,5.376,58.1672,10.1606,0.5159,11.2847,1.799,10.4199,5632.22,244180,24,2.625,2.25e+09,"2026/8/15","BBB+","AT MATURITY","USD","US",0
"211","VZ US EQUITY",2017,24,12.0086,57.8979,5.7543,0.5028,18.7439,1.6721,23.8832,4899,257143,24,4.5,553672000,"2027/8/17","BBB+","AT MATURITY","AUD","US",0
"212","VZ US EQUITY",2017,24,12.0086,57.8979,5.7543,0.5028,18.7439,1.6721,23.8832,4899,257143,24,4.9,207017000,"2047/5/15","BBB+","CALLABLE","USD","US",0
"213","VZ US EQUITY",2017,24,12.0086,57.8979,5.7543,0.5028,18.7439,1.6721,23.8832,4899,257143,24,4.125,3.25e+09,"2027/3/16","BBB+","AT MATURITY","USD","US",0
